VMName,IPAddress,SubnetMask,Gateway,VLAN,Pool
ws622c,10.200.17.238,255.255.255.0,10.200.17.1,dvpg-CRN-VLAN-17,R810-04
ws623c,10.200.17.239,255.255.255.0,10.200.17.1,dvpg-CRN-VLAN-17,R810-04
ws624c,10.200.17.240,255.255.255.0,10.200.17.1,dvpg-CRN-VLAN-17,R810-04
ws625c,10.200.17.241,255.255.255.0,10.200.17.1,dvpg-CRN-VLAN-17,R810-04
ws626c,10.200.17.242,255.255.255.0,10.200.17.1,dvpg-CRN-VLAN-17,R810-04
ws627c,10.200.17.243,255.255.255.0,10.200.17.1,dvpg-CRN-VLAN-17,R810-04
ws628c,10.200.17.244,255.255.255.0,10.200.17.1,dvpg-CRN-VLAN-17,R810-04
ws629c,10.200.17.245,255.255.255.0,10.200.17.1,dvpg-CRN-VLAN-17,R810-04
ws630c,10.200.17.246,255.255.255.0,10.200.17.1,dvpg-CRN-VLAN-17,R810-04
ws631c,10.200.17.247,255.255.255.0,10.200.17.1,dvpg-CRN-VLAN-17,R810-04
ws632c,10.200.17.248,255.255.255.0,10.200.17.1,dvpg-CRN-VLAN-17,R810-04
ws633c,10.200.17.249,255.255.255.0,10.200.17.1,dvpg-CRN-VLAN-17,R810-04
ws634c,10.200.17.250,255.255.255.0,10.200.17.1,dvpg-CRN-VLAN-17,R810-04
ws635c,10.200.17.251,255.255.255.0,10.200.17.1,dvpg-CRN-VLAN-17,R810-04
ws636c,10.200.17.252,255.255.255.0,10.200.17.1,dvpg-CRN-VLAN-17,R810-04
